topic,content
information,"If you are a disaster survivor, visit FEMA.gov for up-to-date disaster information. For questions about disaster assistance applications, call (800) 621-3362, visit disasterassistance.gov, or use the FEMA mobile app."
flood,"Flooding is a temporary overflow of water onto normally dry land. Floods are the most common disaster in the U.S. Failing to evacuate flooded areas or entering flood waters can lead to injury or death. Floods may result from rain, snow, coastal storms, storm surges, and overflows of dams and water systems. They can develop slowly or quickly, sometimes with no warning. Floods can cause outages, disrupt transportation, damage buildings, and create landslides. Know your flood zone and follow official evacuation routes. Do not drive through flooded roads during evacuation."
safe,"Find safe shelter immediately. Do not walk, swim, or drive through flood waters. Turn Around, Don’t Drown! Just six inches of moving water can knock you down, and one foot can sweep your vehicle away. Stay off bridges over fast-moving water. Keep important documents in a waterproof container. Create password-protected digital copies.
Do not touch electrical equipment if wet or standing in water. Turn off electricity if safe to do so.
Use generators and gasoline-powered machinery outdoors and away from windows to avoid carbon monoxide poisoning."
evacuate,"If under a flood warning, evacuate if told to do so, move to higher ground or a higher floor, or stay where you are, depending on the situation. Evacuate immediately if ordered. Never drive around barricades. Contact your healthcare provider if sick and shelter in place when necessary. Listen to emergency alerts for instructions.
Do not walk, swim, or drive through floodwaters. Stay off bridges over fast-moving water. If trapped in a car, stay inside. If water is rising inside, get on the roof.
If experiencing flooding, move to higher ground or the highest level of a building. Do not shelter in a basement or any room with submerged electrical lines. Avoid closed attics, as they may trap you. Only go to the roof if necessary and signal for help.
Evacuate immediately when ordered to do so. Failing to evacuate in time increases the risk of injury or death.
Decide how to evacuate—personal vehicle, public transport, or riding with others. Confirm public transit details in advance.
Take critical supplies and documents with you, including medications, identification, and emergency kits.
Timely evacuations save lives. Moving people out of harm’s way significantly reduces flood-related deaths.
People in high-risk zones should evacuate when instructed. Staying behind increases risk to both individuals and emergency responders."
risk,"Visit FEMA's Flood Map Service Center to understand flood risks in your area. Flooding doesn’t follow map lines—where it rains, it can flood. Sign up for community warnings. The National Risk Index shows which communities are most at risk for flooding. Pay attention to local officials and evacuate flooded areas. Entering floodwaters could result in injury or death.
Flooding is the most common natural disaster worldwide and can occur anywhere in the U.S. and its territories.
Rapidly rising water is especially hazardous as people may be trapped in lower floors with little time to evacuate. The combination of rapid water rise and deep water poses additional risks.
Basements and underground spaces are highly dangerous in floods. Rising water can create hydrostatic pressure, making it impossible to open doors. Past disasters have shown high fatalities in flooded basements and underground locations.
More flood-related deaths occur due to driving into floodwaters than any other cause. It only takes 12 inches of rushing water to carry away most cars, and 2 feet can move SUVs and trucks.
Approximately 75% of flash flood deaths occur at night, and half of victims are inside vehicles. Many deaths happen when people drive around barricades."
money,"Move valuables to higher levels, declutter drains and gutters, install check valves, and consider a sump pump with a battery backup. Federal disaster aid requires a presidential declaration and is usually in the form of loans that must be repaid. Purchase or renew flood insurance. Homeowner’s insurance does not cover flooding. It typically takes up to 30 days for a policy to take effect. Get flood coverage under NFIP.  Flood insurance covers up to $250,000 for residential property and $100,000 for personal belongings. Even in moderate-risk areas, flood insurance is available at lower rates, sometimes as low as $325 per year."
prepare,"Make a household plan, including pets. Learn evacuation routes and shelter plans. Gather supplies such as non-perishable food, cleaning supplies, and water in case of emergency."
house,"If trapped in a building, move to the highest level. Only go to the roof if necessary and signal for help. Do not climb into a closed attic, as rising water can trap you. Protect your home by elevating utilities, using sandbags, and installing a battery-operated sump pump. Most homeowners' insurance does not cover flooding. Only flood insurance provides financial recovery."
return,Follow authorities' instructions and return home only when it is safe. Avoid driving except in emergencies. Wear protective gear for cleanup. People with respiratory conditions should avoid areas with mold exposure.
animal,Be aware of potential animal hazards like snakes inside buildings after flooding.
